Census year,CLUE small area,ANZSIC indusrty,CLUE industry,Business size,Total establishments,Total jobs
2019,Carlton,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,4,17
2019,Docklands,Accommodation and Food Services,Food and Beverage Services,Large business,1,
2019,Docklands,Accommodation and Food Services,Food and Beverage Services,Non employing,1,
2019,Docklands,Administrative and Support Services,Admin and Support Services,Large business,2,
2019,Docklands,"Agriculture, Forestry and Fishing",Agriculture and Mining,Medium business,1,
2019,Docklands,Construction,Construction,Medium business,6,334
2019,Docklands,Education and Training,Education and Training,Small business,13,72
2019,Docklands,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,9,0
2019,Docklands,Manufacturing,Manufacturing,Non employing,2,
2019,Docklands,Mining,Agriculture and Mining,Large business,1,
2019,Docklands,"Professional, Scientific and Technical Services",Business Services,Large business,9,8639
2019,Docklands,Public Administration and Safety,Public Administration and Safety,Small business,9,40
2019,Docklands,"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,5,300
2019,Docklands,"Transport, Postal and Warehousing","Transport, Postal and Storage",Large business,6,3103
2019,East Melbourne,Accommodation and Food Services,Accommodation,Non employing,9,0
2019,East Melbourne,Accommodation and Food Services,Food and Beverage Services,Small business,43,281
2019,East Melbourne,Administrative and Support Services,Admin and Support Services,Medium business,3,162
2019,East Melbourne,Arts and Recreation Services,Arts and Recreation Services,Large business,2,
2019,East Melbourne,Arts and Recreation Services,Arts and Recreation Services,Medium business,7,288
2019,East Melbourne,Financial and Insurance Services,Finance and Insurance,Large business,3,758
2019,East Melbourne,Financial and Insurance Services,Finance and Insurance,Medium business,4,233
2019,East Melbourne,Financial and Insurance Services,Finance and Insurance,Small business,10,32
2019,East Melbourne,Manufacturing,Manufacturing,Medium business,2,
2019,East Melbourne,Other Services,Other Services,Medium business,10,702
2019,East Melbourne,"Professional, Scientific and Technical Services",Business Services,Large business,1,
2019,East Melbourne,"Professional, Scientific and Technical Services",Business Services,Medium business,15,884
2019,East Melbourne,"Professional, Scientific and Technical Services",Business Services,Small business,60,438
2019,East Melbourne,"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,6,39
2019,East Melbourne,Retail Trade,Retail Trade,Non employing,1,
2019,East Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,3,11
2019,East Melbourne,Wholesale Trade,Wholesale Trade,Medium business,3,132
2019,Kensington,Accommodation and Food Services,Accommodation,Medium business,1,
2019,Kensington,Accommodation and Food Services,Accommodation,Non employing,1,
2019,Kensington,Administrative and Support Services,Admin and Support Services,Small business,7,29
2019,Kensington,"Agriculture, Forestry and Fishing",Agriculture and Mining,Small business,2,
2019,Kensington,Arts and Recreation Services,Arts and Recreation Services,Large business,1,
2019,Kensington,Construction,Construction,Non employing,1,
2019,Kensington,Construction,Construction,Small business,20,157
2019,Kensington,Education and Training,Education and Training,Medium business,5,175
2019,Kensington,Education and Training,Education and Training,Small business,4,20
2019,Kensington,Financial and Insurance Services,Finance and Insurance,Small business,2,
2019,Kensington,Health Care and Social Assistance,Health Care and Social Assistance,Small business,19,152
2019,Kensington,Other Services,Other Services,Medium business,4,134
2019,Kensington,Public Administration and Safety,Public Administration and Safety,Small business,3,13
2019,Kensington,"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,1,
2019,Kensington,Retail Trade,Retail Trade,Medium business,3,317
2019,Kensington,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,11,52
2019,Kensington,Wholesale Trade,Wholesale Trade,Medium business,3,191
2019,Kensington,Wholesale Trade,Wholesale Trade,Small business,27,152
2019,Melbourne (CBD),Accommodation and Food Services,Accommodation,Non employing,7,0
2019,Melbourne (CBD),Accommodation and Food Services,Food and Beverage Services,Small business,1472,11446
2019,Melbourne (CBD),Arts and Recreation Services,Arts and Recreation Services,Large business,2,
2019,Melbourne (CBD),Construction,Construction,Small business,104,780
2019,Melbourne (CBD),Health Care and Social Assistance,Health Care and Social Assistance,Small business,356,2130
2019,Melbourne (CBD),Information Media and Telecommunications,Information Media and Telecommunications,Large business,13,15010
2019,Melbourne (CBD),Information Media and Telecommunications,Information Media and Telecommunications,Non employing,4,0
2019,Melbourne (CBD),Manufacturing,Manufacturing,Non employing,1,
2019,Melbourne (CBD),Mining,Agriculture and Mining,Large business,2,
2019,Melbourne (CBD),Mining,Agriculture and Mining,Medium business,5,172
2019,Melbourne (CBD),Other Services,Other Services,Large business,2,
2019,Melbourne (CBD),Other Services,Other Services,Medium business,53,2457
2019,Melbourne (CBD),Other Services,Other Services,Non employing,79,0
2019,Melbourne (CBD),"Professional, Scientific and Technical Services",Business Services,Medium business,483,25589
2019,Melbourne (CBD),"Professional, Scientific and Technical Services",Business Services,Non employing,3,0
2019,Melbourne (CBD),Public Administration and Safety,Public Administration and Safety,Non employing,2,
2019,Melbourne (CBD),Public Administration and Safety,Public Administration and Safety,Small business,66,582
2019,Melbourne (CBD),Retail Trade,Retail Trade,Large business,3,1722
2019,Melbourne (CBD),"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,21,1218
2019,Melbourne (Remainder),Accommodation and Food Services,Accommodation,Medium business,1,
2019,Melbourne (Remainder),Administrative and Support Services,Admin and Support Services,Medium business,1,
2019,Melbourne (Remainder),Administrative and Support Services,Admin and Support Services,Non employing,1,
2019,Melbourne (Remainder),Arts and Recreation Services,Arts and Recreation Services,Large business,3,3339
2019,Melbourne (Remainder),Arts and Recreation Services,Arts and Recreation Services,Small business,10,68
2019,Melbourne (Remainder),Construction,Construction,Medium business,3,140
2019,Melbourne (Remainder),Education and Training,Education and Training,Medium business,1,
2019,Melbourne (Remainder),Education and Training,Education and Training,Small business,4,29
2019,Melbourne (Remainder),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,1,
2019,Melbourne (Remainder),Financial and Insurance Services,Finance and Insurance,Medium business,6,299
2019,Melbourne (Remainder),Information Media and Telecommunications,Information Media and Telecommunications,Medium business,1,
2019,Melbourne (Remainder),Other Services,Other Services,Non employing,8,0
2019,Melbourne (Remainder),Other Services,Other Services,Small business,12,64
2019,Melbourne (Remainder),"Professional, Scientific and Technical Services",Business Services,Large business,7,3796
2019,Melbourne (Remainder),"Professional, Scientific and Technical Services",Business Services,Medium business,11,695
2019,Melbourne (Remainder),Retail Trade,Retail Trade,Small business,16,82
2019,North Melbourne,Accommodation and Food Services,Accommodation,Non employing,6,0
2019,North Melbourne,Accommodation and Food Services,Accommodation,Small business,13,79
2019,North Melbourne,"Agriculture, Forestry and Fishing",Agriculture and Mining,Small business,1,
2019,North Melbourne,Arts and Recreation Services,Arts and Recreation Services,Non employing,12,0
2019,North Melbourne,Construction,Construction,Medium business,9,438
2019,North Melbourne,Financial and Insurance Services,Finance and Insurance,Non employing,2,
2019,North Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Non employing,1,
2019,North Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Small business,91,472
2019,North Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Medium business,4,138
2019,North Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Non employing,2,
2019,North Melbourne,Other Services,Other Services,Non employing,9,0
2019,North Melbourne,"Professional, Scientific and Technical Services",Business Services,Small business,133,697
2019,North Melbourne,Public Administration and Safety,Public Administration and Safety,Medium business,4,217
2019,North Melbourne,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,4,28
2019,North Melbourne,Retail Trade,Retail Trade,Small business,86,346
2019,North Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,4,0
2019,North Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,16,80
2019,North Melbourne,Wholesale Trade,Wholesale Trade,Non employing,1,
2019,Parkville,Accommodation and Food Services,Accommodation,Small business,4,48
2019,Parkville,Arts and Recreation Services,Arts and Recreation Services,Medium business,2,
2019,Parkville,Arts and Recreation Services,Arts and Recreation Services,Non employing,30,0
2019,Parkville,Arts and Recreation Services,Arts and Recreation Services,Small business,10,70
2019,Parkville,Education and Training,Education and Training,Medium business,45,3188
2019,Parkville,Education and Training,Education and Training,Small business,12,119
2019,Parkville,Health Care and Social Assistance,Health Care and Social Assistance,Large business,8,19653
2019,Parkville,Health Care and Social Assistance,Health Care and Social Assistance,Small business,70,320
2019,Parkville,Information Media and Telecommunications,Information Media and Telecommunications,Small business,1,
2019,Parkville,Manufacturing,Manufacturing,Large business,1,
2019,Parkville,Other Services,Other Services,Small business,14,61
2019,Parkville,"Professional, Scientific and Technical Services",Business Services,Medium business,8,374
2019,Parkville,Public Administration and Safety,Public Administration and Safety,Medium business,2,
2019,Parkville,"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,1,
2019,Parkville,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,2,
2019,Port Melbourne,Accommodation and Food Services,Accommodation,Small business,2,
2019,Port Melbourne,"Agriculture, Forestry and Fishing",Agriculture and Mining,Small business,1,
2019,Port Melbourne,Arts and Recreation Services,Arts and Recreation Services,Medium business,1,
2019,Port Melbourne,Arts and Recreation Services,Arts and Recreation Services,Non employing,6,0
2019,Port Melbourne,Construction,Construction,Medium business,19,678
2019,Port Melbourne,Education and Training,Education and Training,Non employing,1,
2019,Port Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,1,
2019,Port Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Large business,1,
2019,Port Melbourne,Manufacturing,Manufacturing,Non employing,1,
2019,Port Melbourne,Other Services,Other Services,Medium business,5,137
2019,Port Melbourne,Public Administration and Safety,Public Administration and Safety,Medium business,5,199
2019,Port Melbourne,Public Administration and Safety,Public Administration and Safety,Non employing,2,
2019,Port Melbourne,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,10,99
2019,Port Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,17,139
2019,South Yarra,Accommodation and Food Services,Food and Beverage Services,Small business,6,73
2019,South Yarra,Arts and Recreation Services,Arts and Recreation Services,Non employing,4,0
2019,South Yarra,Education and Training,Education and Training,Non employing,6,0
2019,South Yarra,Education and Training,Education and Training,Small business,2,
2019,South Yarra,Retail Trade,Retail Trade,Small business,4,16
2019,Southbank,Accommodation and Food Services,Food and Beverage Services,Non employing,4,0
2019,Southbank,Administrative and Support Services,Admin and Support Services,Small business,15,133
2019,Southbank,Arts and Recreation Services,Arts and Recreation Services,Large business,6,8121
2019,Southbank,Construction,Construction,Large business,1,
2019,Southbank,Education and Training,Education and Training,Medium business,8,588
2019,Southbank,Education and Training,Education and Training,Small business,7,51
2019,Southbank,Financial and Insurance Services,Finance and Insurance,Medium business,13,880
2019,Southbank,Financial and Insurance Services,Finance and Insurance,Small business,19,131
2019,Southbank,Manufacturing,Manufacturing,Large business,4,3393
2019,Southbank,Manufacturing,Manufacturing,Small business,4,43
2019,Southbank,Other Services,Other Services,Small business,17,76
2019,Southbank,"Professional, Scientific and Technical Services",Business Services,Large business,7,4114
2019,Southbank,Public Administration and Safety,Public Administration and Safety,Large business,2,
2019,Southbank,Retail Trade,Retail Trade,Medium business,21,835
2019,Southbank,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,4,31
2019,West Melbourne (Industrial),Accommodation and Food Services,Food and Beverage Services,Small business,6,19
2019,West Melbourne (Industrial),Arts and Recreation Services,Arts and Recreation Services,Non employing,8,0
2019,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,1,
2019,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,6,0
2019,West Melbourne (Industrial),Other Services,Other Services,Small business,4,21
2019,West Melbourne (Industrial),"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,1,
2019,West Melbourne (Industrial),"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,23,195
2019,West Melbourne (Residential),Accommodation and Food Services,Accommodation,Medium business,1,
2019,West Melbourne (Residential),Accommodation and Food Services,Accommodation,Non employing,3,0
2019,West Melbourne (Residential),Administrative and Support Services,Admin and Support Services,Medium business,4,258
2019,West Melbourne (Residential),Education and Training,Education and Training,Medium business,8,342
2019,West Melbourne (Residential),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,10,0
2019,West Melbourne (Residential),Financial and Insurance Services,Finance and Insurance,Medium business,2,
2019,West Melbourne (Residential),Health Care and Social Assistance,Health Care and Social Assistance,Large business,1,
2019,West Melbourne (Residential),Information Media and Telecommunications,Information Media and Telecommunications,Small business,4,35
2019,West Melbourne (Residential),Other Services,Other Services,Medium business,5,242
2019,West Melbourne (Residential),"Professional, Scientific and Technical Services",Business Services,Medium business,11,702
2019,West Melbourne (Residential),"Professional, Scientific and Technical Services",Business Services,Non employing,2,
2019,West Melbourne (Residential),"Professional, Scientific and Technical Services",Business Services,Small business,88,562
2019,West Melbourne (Residential),Public Administration and Safety,Public Administration and Safety,Medium business,1,
2018,Carlton,Accommodation and Food Services,Accommodation,Medium business,5,204
2018,Carlton,Accommodation and Food Services,Accommodation,Non employing,16,0
2018,Carlton,Construction,Construction,Small business,13,71
2018,Carlton,Education and Training,Education and Training,Medium business,32,2187
2018,Carlton,Education and Training,Education and Training,Non employing,14,0
2018,Carlton,Education and Training,Education and Training,Small business,41,258
2018,Carlton,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,11,0
2018,Carlton,Financial and Insurance Services,Finance and Insurance,Medium business,5,197
2018,Carlton,Health Care and Social Assistance,Health Care and Social Assistance,Non employing,3,0
2018,Carlton,Health Care and Social Assistance,Health Care and Social Assistance,Small business,86,424
2018,Carlton,Other Services,Other Services,Non employing,13,0
2018,Carlton,"Professional, Scientific and Technical Services",Business Services,Small business,125,762
2018,Docklands,Accommodation and Food Services,Accommodation,Non employing,5,0
2018,Docklands,Administrative and Support Services,Admin and Support Services,Small business,26,162
2018,Docklands,"Agriculture, Forestry and Fishing",Agriculture and Mining,Medium business,1,
2018,Docklands,"Agriculture, Forestry and Fishing",Agriculture and Mining,Small business,1,
2018,Docklands,Arts and Recreation Services,Arts and Recreation Services,Large business,3,1350
2018,Docklands,Arts and Recreation Services,Arts and Recreation Services,Non employing,18,0
2018,Docklands,Education and Training,Education and Training,Small business,13,72
2018,Docklands,Health Care and Social Assistance,Health Care and Social Assistance,Small business,29,174
2018,Docklands,Information Media and Telecommunications,Information Media and Telecommunications,Large business,10,4720
2018,Docklands,Other Services,Other Services,Medium business,4,335
2018,Docklands,Retail Trade,Retail Trade,Non employing,2,
2018,East Melbourne,Financial and Insurance Services,Finance and Insurance,Medium business,4,233
2018,East Melbourne,Financial and Insurance Services,Finance and Insurance,Small business,10,32
2018,East Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Large business,4,2372
2018,East Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Medium business,1,
2018,East Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Small business,5,59
2018,East Melbourne,Manufacturing,Manufacturing,Small business,1,
2018,East Melbourne,Mining,Agriculture and Mining,Small business,1,
2018,East Melbourne,Other Services,Other Services,Medium business,10,702
2018,East Melbourne,Other Services,Other Services,Small business,30,167
2018,East Melbourne,"Professional, Scientific and Technical Services",Business Services,Medium business,15,884
2018,East Melbourne,"Professional, Scientific and Technical Services",Business Services,Small business,60,438
2018,East Melbourne,Public Administration and Safety,Public Administration and Safety,Medium business,9,725
2018,East Melbourne,Public Administration and Safety,Public Administration and Safety,Small business,4,50
2018,Melbourne (CBD),Information Media and Telecommunications,Information Media and Telecommunications,Medium business,36,2196
2018,Melbourne (CBD),Information Media and Telecommunications,Information Media and Telecommunications,Small business,66,485
2018,Melbourne (CBD),Manufacturing,Manufacturing,Non employing,1,
2018,Melbourne (CBD),Other Services,Other Services,Non employing,86,0
2018,Melbourne (CBD),Public Administration and Safety,Public Administration and Safety,Large business,24,15584
2018,Melbourne (CBD),Wholesale Trade,Wholesale Trade,Medium business,7,298
2018,Melbourne (CBD),Wholesale Trade,Wholesale Trade,Small business,110,507
2018,Melbourne (Remainder),Accommodation and Food Services,Food and Beverage Services,Medium business,5,167
2018,Melbourne (Remainder),Administrative and Support Services,Admin and Support Services,Large business,1,
2018,Melbourne (Remainder),Arts and Recreation Services,Arts and Recreation Services,Large business,3,3339
2018,Melbourne (Remainder),Construction,Construction,Small business,5,22
2018,Melbourne (Remainder),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,1,
2018,Melbourne (Remainder),Financial and Insurance Services,Finance and Insurance,Small business,15,95
2018,Melbourne (Remainder),Health Care and Social Assistance,Health Care and Social Assistance,Medium business,6,336
2018,Melbourne (Remainder),Health Care and Social Assistance,Health Care and Social Assistance,Non employing,2,
2018,Melbourne (Remainder),Information Media and Telecommunications,Information Media and Telecommunications,Medium business,3,123
2018,Melbourne (Remainder),Manufacturing,Manufacturing,Large business,1,
2015,West Melbourne (Residential),Health Care and Social Assistance,Health Care and Social Assistance,Large business,1,
2015,West Melbourne (Residential),Manufacturing,Manufacturing,Medium business,5,171
2015,West Melbourne (Residential),Manufacturing,Manufacturing,Non employing,1,
2015,West Melbourne (Residential),"Professional, Scientific and Technical Services",Business Services,Non employing,3,0
2015,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,5,42
2015,West Melbourne (Residential),Wholesale Trade,Wholesale Trade,Non employing,2,
2014,Carlton,Administrative and Support Services,Admin and Support Services,Medium business,7,209
2014,Carlton,Construction,Construction,Small business,11,55
2014,Carlton,Financial and Insurance Services,Finance and Insurance,Medium business,5,315
2014,Carlton,Financial and Insurance Services,Finance and Insurance,Small business,35,216
2014,Carlton,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,12,843
2014,Carlton,Manufacturing,Manufacturing,Small business,25,140
2014,Carlton,Retail Trade,Retail Trade,Non employing,8,0
2014,Carlton,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,4,21
2014,Carlton,Wholesale Trade,Wholesale Trade,Non employing,1,
2014,Docklands,Accommodation and Food Services,Food and Beverage Services,Large business,1,
2014,Docklands,Accommodation and Food Services,Accommodation,Medium business,4,271
2014,Docklands,Accommodation and Food Services,Accommodation,Non employing,7,0
2014,Docklands,Accommodation and Food Services,Food and Beverage Services,Small business,199,1533
2014,Docklands,Administrative and Support Services,Admin and Support Services,Large business,2,
2014,Docklands,Administrative and Support Services,Admin and Support Services,Medium business,6,239
2014,Docklands,Arts and Recreation Services,Arts and Recreation Services,Large business,2,
2014,Docklands,Arts and Recreation Services,Arts and Recreation Services,Medium business,2,
2014,Docklands,Arts and Recreation Services,Arts and Recreation Services,Small business,27,150
2014,Docklands,Construction,Construction,Large business,1,
2014,Docklands,Construction,Construction,Medium business,5,251
2014,Docklands,Construction,Construction,Small business,12,59
2014,Docklands,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,9,0
2014,Docklands,Mining,Agriculture and Mining,Large business,1,
2014,Docklands,Other Services,Other Services,Non employing,21,0
2014,Docklands,"Professional, Scientific and Technical Services",Business Services,Medium business,13,486
2014,Docklands,"Professional, Scientific and Technical Services",Business Services,Small business,103,502
2014,Docklands,"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,2,
2014,Docklands,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,4,13
2014,Docklands,Retail Trade,Retail Trade,Large business,2,
2014,Docklands,Retail Trade,Retail Trade,Medium business,4,345
2014,Docklands,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,4,143
2014,Docklands,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,25,162
2014,East Melbourne,Accommodation and Food Services,Food and Beverage Services,Large business,1,
2014,East Melbourne,Accommodation and Food Services,Accommodation,Medium business,3,152
2014,East Melbourne,Administrative and Support Services,Admin and Support Services,Medium business,3,199
2014,East Melbourne,Arts and Recreation Services,Arts and Recreation Services,Non employing,18,0
2014,East Melbourne,Education and Training,Education and Training,Large business,1,
2014,East Melbourne,Education and Training,Education and Training,Medium business,5,428
2014,East Melbourne,Education and Training,Education and Training,Small business,6,77
2014,East Melbourne,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,6,0
2014,East Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Large business,6,5084
2014,East Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Non employing,1,
2014,East Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Medium business,1,
2014,East Melbourne,Manufacturing,Manufacturing,Medium business,2,
2014,East Melbourne,Mining,Agriculture and Mining,Small business,1,
2014,East Melbourne,"Professional, Scientific and Technical Services",Business Services,Large business,2,
2014,East Melbourne,Public Administration and Safety,Public Administration and Safety,Small business,4,39
2014,East Melbourne,"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,9,68
2014,East Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,2,
2014,East Melbourne,Wholesale Trade,Wholesale Trade,Small business,2,
2014,Kensington,Accommodation and Food Services,Food and Beverage Services,Medium business,2,
2014,Kensington,Arts and Recreation Services,Arts and Recreation Services,Non employing,55,0
2014,Kensington,Construction,Construction,Medium business,3,130
2014,Kensington,Construction,Construction,Non employing,2,
2014,Kensington,Education and Training,Education and Training,Medium business,3,121
